Date,Open,High,Low,Close,Volume,Turnover,prevclose,gappct,gapDOWN,Consgapdown,gappctHObO,gappctHObO1,gappctHObO2,gappctHObO3,gappctHObO4,gappctHObO5,gappctOLbO,gappctOLbO1,gappctOLbO2,gappctOLbO3,gappctOLbO4,gappctOLbO5
2007-11-07,5782.4,5861.35,5744.3,5782.35,171689234,97357700000.0,5786.5,-0.07085457530459456,True,4.0,0.006588959601549435,0.006588959601549435,,,,,0.006588959601549435,0.006588959601549435,,,,
2007-11-08,5779.3,5780.8,5646.75,5698.75,141330728,88666000000.0,5782.35,-0.052746720623970914,True,5.0,0.022935303583479,0.022935303583479,,,,,0.022935303583479,0.022935303583479,,,,
2007-11-12,5660.6,5660.6,5477.5,5617.1,138684010,91326600000.0,5663.25,-0.04679291926013572,True,1.0,0.03234639437515464,0.03234639437515464,,,,,0.03234639437515464,0.03234639437515464,,,,
2007-11-13,5612.35,5758.85,5591.6,5695.4,157132078,97780500000.0,5617.1,-0.08456320877321037,True,2.0,0.003697203488734665,0.003697203488734665,,,,,0.003697203488734665,0.003697203488734665,,,,
2007-12-10,5974.0,6015.3,5923.35,5960.6,86359475,53418600000.0,5974.3,-0.005021508796012619,True,1.0,0.008478406427853974,0.008478406427853974,,,,,0.008478406427853974,0.008478406427853974,,,,
2007-12-11,5960.4,6111.2,5960.4,6097.25,115310729,71814200000.0,5960.6,-0.0033553669093837465,True,2.0,0.0,0.0,,,,,0.0,0.0,,,,
2007-12-12,6067.05,6175.65,6005.45,6159.3,130818169,81442900000.0,6097.25,-0.495305260568286,True,3.0,0.010153204605203577,,0.010153204605203577,,,,0.010153204605203577,,0.010153204605203577,,,
2007-12-13,6159.25,6185.4,6040.4,6058.1,120319710,72293200000.0,6159.3,-0.0008117805594821147,True,4.0,0.019296180541462087,0.019296180541462087,,,,,0.019296180541462087,0.019296180541462087,,,,
2007-12-14,6056.2,6078.55,6015.05,6047.7,100558395,64798400000.0,6058.1,-0.03136296858751994,True,5.0,0.006794689739440514,0.006794689739440514,,,,,0.006794689739440514,0.006794689739440514,,,,
2007-12-17,6037.95,6039.95,5740.6,5777.0,108208153,68156000000.0,6047.7,-0.1612183144005159,True,6.0,0.049246847025894464,0.049246847025894464,,,,,0.049246847025894464,0.049246847025894464,,,,
2007-12-27,6069.0,6110.85,6060.2,6081.5,150138294,91383700000.00002,6070.75,-0.028826751225136928,True,1.0,0.0014499917614104764,0.0014499917614104764,,,,,0.0014499917614104764,0.0014499917614104764,,,,
